SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),MA6_Temperature(°C),MA6_Max_Temperature(°C),MA6_Min_Temperature(°C),MA6_Humidity(%),MA6_Max_Humidity(%),MA6_Min_Humidity(%),MA6_Sunlight(Lux),MA6_Max_Sunlight(Lux),MA6_Min_Sunlight(Lux),MA6_Power(mW),MA6_Max_Power(mW),MA6_Min_Power(mW),Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50,Avg_Power(mW)
20240520151006,29.068382263183594,70.45405578613281,8086.16796875,29.223081588745117,73.41796112060547,11520.4169921875,0.03999999910593033,28.70619010925293,69.50117492675781,7968.05859375,0.020000001415610313,29.59731674194336,28.958499908447266,70.5855484008789,70.42720794677734,10080.1533203125,10299.033203125,0.029999999329447746,0.029999999329447746,29.35751724243164,29.09963607788086,71.48857879638672,73.32284545898438,11595.001953125,10752.537109375,0.03999999910593033,0.03999999910593033,28.68210220336914,28.440099716186523,68.14796447753906,69.902099609375,8376.501953125,9934.9697265625,0.020000001415610313,0.019999999552965164,29.37217903137207,30.058731079101562,28.837854385375977,69.93641662597656,71.07835388183594,68.45157623291016,11370.6220703125,16094.33203125,8678.1669921875,0.09000000357627869,0.10999999940395355,0.07000000029802322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.0
20240520152006,28.728742599487305,72.18803405761719,5982.52392578125,28.90387535095215,74.42733764648438,9386.994140625,0.03999999910593033,28.443010330200195,71.20449829101562,6062.06689453125,0.020000001415610313,29.249250411987305,28.767642974853516,71.99230194091797,71.88906860351562,8245.55859375,8932.9853515625,0.029999999329447746,0.029999999329447746,29.088764190673828,28.84393310546875,72.6428451538086,74.55470275878906,9530.4609375,8859.4521484375,0.03999999910593033,0.03999999910593033,28.220569610595703,28.226015090942383,69.4969253540039,71.08960723876953,6654.68896484375,8148.4609375,0.020000001415610313,0.019999999552965164,29.19203758239746,29.90841293334961,28.633573532104492,71.1180191040039,72.699462890625,69.58264923095703,10056.73046875,13624.9833984375,7184.91552734375,0.09000000357627869,0.10999999940395355,0.07000000029802322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
20240520153006,28.36016273498535,73.71202850341797,4932.27490234375,28.527761459350586,75.48843383789062,7941.345703125,0.03999999910593033,28.134262084960938,72.32646942138672,4748.248046875,0.020000001415610313,28.93804359436035,28.285980224609375,73.04087829589844,73.08963775634766,7035.85986328125,7772.9638671875,0.029999999329447746,0.029999999329447746,28.746139526367188,28.47526741027832,73.62255096435547,75.72827911376953,8692.111328125,7926.59521484375,0.03999999910593033,0.03999999910593033,27.747312545776367,27.700706481933594,70.5179214477539,72.05657196044922,5395.853515625,6747.99462890625,0.020000001415610313,0.019999999552965164,28.909011840820312,29.57784080505371,28.137264251708984,72.46964263916016,74.05255889892578,70.87126159667969,8903.0810546875,12553.685546875,5722.17333984375,0.09000000357627869,0.10999999940395355,0.07000000029802322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0
20240520154006,27.82246208190918,75.31869506835938,4218.08837890625,28.072044372558594,77.23719024658203,7011.2900390625,0.03999999910593033,27.72016143798828,73.96344757080078,3730.212158203125,0.020000001415610313,28.415019989013672,27.81093978881836,74.56816864013672,74.81517028808594,6515.232421875,7215.41943359375,0.029999999329447746,0.029999999329447746,28.262792587280273,27.94303321838379,75.35311889648438,77.18516540527344,7786.42236328125,7379.3349609375,0.03999999910593033,0.03999999910593033,27.213369369506836,27.254150390625,72.16783142089844,73.64572143554688,4621.828125,6208.64306640625,0.020000001415610313,0.019999999552965164,28.379512786865234,29.089492797851562,27.659704208374023,74.19894409179688,75.52074432373047,72.59078979492188,8802.4296875,12551.8603515625,5514.71630859375,0.09000000357627869,0.10999999940395355,0.07000000029802322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
20240520155006,27.315092086791992,76.79948425292969,3149.70166015625,27.61113929748535,78.58320617675781,5726.85791015625,0.03999999910593033,27.25663185119629,75.34822845458984,2559.782958984375,0.020000001415610313,27.89557647705078,27.37753677368164,75.7634506225586,76.30571746826172,5380.82568359375,6298.3427734375,0.029999999329447746,0.029999999329447746,27.79029655456543,27.42641258239746,76.80674743652344,78.34989166259766,6241.18896484375,6026.71484375,0.03999999910593033,0.03999999910593033,26.607162475585938,26.790782928466797,73.7868423461914,74.98847961425781,3294.857421875,5085.14990234375,0.020000001415610313,0.019999999552965164,27.88330078125,28.69772720336914,27.26630401611328,75.42382049560547,76.77531433105469,73.87276458740234,8257.5712890625,11425.2783203125,5023.0703125,0.09000000357627869,0.10999999940395355,0.07000000029802322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
20240520160006,26.818950653076172,78.98384857177734,1564.3907470703125,27.00450897216797,80.84908294677734,4239.85791015625,0.03999999910593033,26.821041107177734,77.51545715332031,1052.88818359375,0.020000001415610313,27.334402084350586,26.808332443237305,77.8138198852539,78.4761962890625,4376.82666015625,5168.75,0.029999999329447746,0.029999999329447746,27.219139099121094,26.7678279876709,78.93914031982422,80.33930206298828,4608.7431640625,4440.01318359375,0.03999999910593033,0.03999999910593033,25.981916427612305,26.178781509399414,76.10678100585938,77.37862396240234,1861.4188232421875,3527.577392578125,0.020000001415610313,0.019999999552965164,27.49110221862793,28.254642486572266,26.724895477294922,77.35576629638672,78.54866027832031,75.79362487792969,7429.52734375,10276.2138671875,4221.544921875,0.09000000357627869,0.10999999940395355,0.07000000029802322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0
20240520161006,26.07603645324707,81.9194564819336,319.0799865722656,26.295249938964844,83.82422637939453,2298.5263671875,0.03999999910593033,26.078731536865234,80.23697662353516,280.8299865722656,0.020000001415610313,26.601451873779297,26.04613494873047,80.84650421142578,81.28823852539062,2645.762939453125,3288.32470703125,0.029999999329447746,0.029999999329447746,26.468828201293945,26.011018753051758,81.8713150024414,83.30083465576172,2313.18701171875,2508.820068359375,0.03999999910593033,0.03999999910593033,25.271400451660156,25.471128463745117,79.30948638916016,80.44351959228516,293.33001708984375,1883.37890625,0.020000001415610313,0.019999999552965164,26.999536514282227,27.779714584350586,26.224720001220703,79.76250457763672,80.97623443603516,78.4827651977539,6302.38525390625,9331.8193359375,2676.692626953125,0.09000000357627869,0.10999999940395355,0.07000000029802322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
20240520162006,25.34010124206543,85.30180358886719,319.0799865722656,25.591373443603516,86.96569061279297,375.0,0.03999999910593033,25.418169021606445,83.20396423339844,280.8299865722656,0.020000001415610313,25.92411994934082,25.43951416015625,84.29693603515625,84.52439880371094,418.8065490722656,1037.69677734375,0.029999999329447746,0.029999999329447746,25.82708168029785,25.373788833618164,85.0785140991211,86.45850372314453,353.33001708984375,353.33001708984375,0.03999999910593033,0.03999999910593033,24.69498634338379,24.871322631835938,82.69031524658203,83.74300384521484,293.33001708984375,293.33001708984375,0.020000001415610313,0.019999999552965164,26.557952880859375,27.367755889892578,25.80353546142578,82.32453155517578,83.92240142822266,81.18275451660156,4556.74560546875,6537.03466796875,1030.619873046875,0.09000000357627869,0.10999999940395355,0.07000000029802322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,35.46096728076509
20240520163006,24.747661590576172,88.1705551147461,319.0799865722656,24.968055725097656,89.86598205566406,375.0,0.03999999910593033,24.8415584564209,85.43128967285156,280.8299865722656,0.020000001415610313,25.411083221435547,24.698896408081055,87.24755096435547,87.25878143310547,328.5,333.75,0.029999999329447746,0.029999999329447746,25.167478561401367,24.75653076171875,87.86323547363281,89.39185333251953,353.33001708984375,353.33001708984375,0.03999999910593033,0.03999999910593033,24.21025848388672,24.07275390625,85.43474578857422,86.63300323486328,293.33001708984375,293.33001708984375,0.020000001415610313,0.019999999552965164,26.009654998779297,26.76586151123047,25.097576141357422,85.1105728149414,86.70069885253906,84.15486145019531,2780.959716796875,4797.62060546875,487.6400146484375,0.09000000357627869,0.10999999940395355,0.07000000029802322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,18.136660413009963
20240520164006,24.20157241821289,90.64850616455078,319.0799865722656,24.4714412689209,92.88628387451172,375.0,0.03999999910593033,24.326065063476562,87.8603286743164,280.8299865722656,0.020000001415610313,24.88336753845215,24.13230323791504,90.21441650390625,90.03421783447266,328.5,333.75,0.029999999329447746,0.029999999329447746,24.542245864868164,24.176057815551758,90.84615325927734,92.09513854980469,353.33001708984375,353.33001708984375,0.03999999910593033,0.03999999910593033,23.808120727539062,23.535032272338867,88.34976196289062,89.68507385253906,293.33001708984375,293.33001708984375,0.020000001415610313,0.019999999552965164,25.294696807861328,26.06822395324707,24.4969539642334,87.9699478149414,89.40253448486328,87.34347534179688,2074.5244140625,4019.19482421875,487.6400146484375,0.09000000357627869,0.10999999940395355,0.07000000029802322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12.361638818342271
20240520165006,23.831562042236328,92.64694213867188,319.0799865722656,24.16768455505371,94.96591186523438,375.0,0.03999999910593033,23.942493438720703,89.63867950439453,280.8299865722656,0.020000001415610313,24.538612365722656,23.81003189086914,92.42327117919922,92.17329406738281,328.5,333.75,0.029999999329447746,0.029999999329447746,24.07330322265625,23.797117233276367,93.13105773925781,94.09858703613281,353.33001708984375,353.33001708984375,0.03999999910593033,0.03999999910593033,23.439577102661133,23.154996871948242,90.66477966308594,91.93231201171875,293.33001708984375,293.33001708984375,0.020000001415610313,0.019999999552965164,24.680316925048828,25.50353240966797,24.069549560546875,90.07498168945312,91.736572265625,89.75533294677734,1267.074951171875,2581.25244140625,487.6400146484375,0.09000000357627869,0.10999999940395355,0.07000000029802322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11.737073970611846
20240520170006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,
20240521070006,30.52,64.9,16495.17,30.59,65.81,18261.67,69.2,30.4,63.79,14974.17,53.54,30.52,30.51,64.85,64.85,16846.17,17197.17,62.49,64.28,30.58,30.58,65.81,65.81,18484.17,18757.5,71.19,73.12,30.4,30.4,63.79,63.79,15247.5,15497.5,55.24,55.86,28.25,28.6,27.87,73.82,75.5,72.11,13766.72,15023.61,12372.64,48.54,55.8,41.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
20240521071006,30.49,64.76,14489.08,30.55,65.2,14762.5,52.36,30.42,64.24,14346.67,51.0,30.5,30.51,64.77,64.77,14551.83,14639.83,51.68,52.09,30.59,30.59,65.2,65.2,14974.17,15247.5,53.54,55.24,30.42,30.42,64.24,64.24,14367.5,14394.17,51.0,51.0,28.98,29.3,28.62,70.89,72.51,69.24,15128.2,16213.06,13872.64,55.35,62.0,48.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
20240521072006,30.62,64.41,15387.5,30.77,65.23,16624.17,70.88,30.47,63.63,14403.33,52.63,30.59,30.57,64.43,64.58,15159.75,14963.92,59.61,57.84,30.71,30.69,65.23,65.23,16325.83,16005.83,68.89,65.91,30.47,30.44,63.63,63.79,14346.67,14346.67,52.36,51.13,29.65,29.95,29.3,68.23,69.81,66.71,16043.36,17025.42,14939.44,61.36,67.92,54.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
20240521073006,31.04,62.61,17880.25,31.14,64.32,19146.67,92.45,30.86,61.58,16896.67,72.9,31.01,30.97,62.89,63.08,17628.0,17377.92,79.32,77.29,31.14,31.14,64.33,64.33,18826.67,18503.33,89.16,87.58,30.77,30.71,61.62,61.62,16624.17,16325.83,70.88,68.89,30.24,30.47,29.94,65.86,67.42,64.49,16709.82,17652.5,15735.97,66.89,73.79,60.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
20240521074006,31.2,61.6,20793.92,31.57,62.39,22374.17,125.37,30.93,60.66,19449.17,94.57,31.15,31.12,61.67,61.77,20471.17,20152.25,105.38,102.16,31.45,31.32,62.39,62.39,22015.83,21634.17,121.33,118.32,30.93,30.93,60.66,60.66,19146.67,18826.67,92.45,89.16,30.66,30.86,30.41,64.15,65.4,63.02,17320.82,18424.17,16349.03,73.84,82.45,65.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
20240521075006,32.01,58.76,23804.5,32.34,60.36,25322.5,153.49,31.69,57.52,22713.33,128.05,31.93,31.87,59.08,59.35,23509.67,23222.83,134.51,131.76,32.2,32.2,60.82,60.82,24884.17,24437.5,148.88,143.94,31.57,31.45,57.52,57.52,22374.17,22015.83,125.37,121.33,30.98,31.16,30.8,62.84,63.89,61.9,18141.74,19415.28,17130.56,83.54,93.96,75.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
20240521080006,32.86,55.89,26911.42,33.23,57.1,27610.0,179.0,32.46,54.61,25740.0,156.69,32.77,32.66,56.2,56.5,26682.67,26417.5,167.67,164.86,33.2,33.07,57.71,58.02,27535.83,27450.83,176.97,176.33,32.34,32.08,54.77,54.77,25322.5,24884.17,153.49,148.88,31.37,31.6,31.14,61.34,62.43,60.37,19877.78,20973.34,18924.86,101.79,112.26,92.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
20240521081006,33.51,53.73,27489.0,33.64,54.73,27697.5,181.69,33.24,52.74,27350.83,176.23,33.47,33.43,53.86,54.04,27501.92,27518.75,177.48,177.28,33.64,33.64,54.73,55.04,27697.5,27697.5,179.25,179.25,33.23,33.2,52.74,52.74,27350.83,27350.83,176.23,176.23,31.87,32.12,31.61,59.5,60.69,58.46,22044.43,23129.17,21092.22,122.82,133.81,113.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
20240521082006,33.98,52.41,28100.58,34.43,53.65,28445.0,193.34,33.61,51.02,27637.5,182.95,33.89,33.82,52.61,52.83,28004.17,27902.25,188.64,187.36,34.33,34.26,53.65,53.65,28386.67,28284.17,191.69,191.69,33.55,33.55,51.02,51.1,27480.83,27367.5,181.69,178.9,32.43,32.72,32.13,57.5,58.76,56.36,24163.28,25099.31,23297.92,144.21,154.22,135.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
20240521083006,34.74,50.0,26894.17,34.86,51.36,28426.67,190.56,34.55,48.86,24936.67,146.58,34.71,34.68,50.17,50.39,27245.0,27550.5,175.48,179.25,34.86,34.86,51.36,51.36,28445.0,28445.0,193.34,193.34,34.43,34.33,48.86,49.37,25331.67,25797.5,154.05,159.06,33.05,33.34,32.75,55.4,56.6,54.23,25665.6,26645.97,24637.92,159.1,170.58,147.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
20240521084006,34.34,49.88,23450.92,34.72,51.01,24624.17,145.77,33.97,48.89,22649.17,126.34,34.41,34.48,49.73,49.52,23679.67,23940.25,136.02,138.62,34.75,34.75,50.95,50.91,24936.67,25331.67,146.58,154.05,34.0,34.05,48.89,48.86,22725.83,22860.0,128.05,128.68,33.57,33.87,33.25,53.44,54.7,52.27,26108.43,27020.97,25171.25,163.32,173.98,152.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
20240521085006,33.85,51.82,22266.92,33.96,52.29,22602.5,126.63,33.7,51.16,21920.0,121.25,33.86,33.87,51.74,51.6,22339.83,22413.42,124.52,125.2,33.97,34.0,52.29,52.08,22649.17,22725.83,126.63,128.05,33.7,33.7,51.01,50.95,21990.0,22059.17,121.25,123.26,33.88,34.14,33.59,52.29,53.36,51.21,25852.17,26567.64,25039.03,161.1,169.5,151.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
20240521090006,33.53,53.0,21189.83,33.79,53.62,21835.0,119.34,33.38,52.22,20421.67,102.9,33.57,33.61,52.9,52.76,21339.66,21478.33,113.41,115.02,33.89,33.89,53.62,53.58,21920.0,21990.0,121.33,121.33,33.38,33.38,51.85,51.85,20603.33,20783.33,105.22,106.89,33.99,34.23,33.74,51.81,52.78,50.82,24898.57,25605.14,24152.64,151.32,159.56,142.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
20240521091006,33.08,54.15,19815.17,33.37,54.81,20269.17,101.26,32.96,53.11,19548.33,92.63,33.13,33.18,53.98,53.88,19902.42,20007.92,97.12,98.34,33.43,33.5,54.81,54.81,20421.67,20603.33,102.9,105.22,32.96,33.0,52.94,52.94,19548.33,19572.5,92.63,92.63,33.92,34.19,33.7,51.88,52.79,50.88,23619.6,24367.08,22852.22,137.72,146.15,128.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
20240521092006,33.16,54.3,19629.33,33.22,54.62,19678.33,94.46,33.06,53.64,19563.33,90.78,33.14,33.11,54.36,54.4,19624.5,19618.67,93.5,93.58,33.21,33.19,54.63,54.65,19678.33,19678.33,94.46,94.46,33.0,32.96,53.64,53.64,19549.17,19548.33,92.16,92.27,33.78,33.99,33.6,52.19,52.95,51.31,22207.72,22905.97,21506.53,121.63,129.67,113.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
20240521093006,33.23,54.82,20146.33,33.37,56.07,20834.17,105.91,32.93,54.09,19619.17,91.24,33.25,33.28,54.61,54.58,20022.67,19919.33,96.0,94.76,33.37,33.37,55.75,55.75,20640.0,20480.0,104.56,101.14,32.93,33.16,54.04,54.04,19597.5,19597.5,90.78,90.78,33.53,33.74,33.33,53.0,53.74,52.18,21083.08,21640.56,20620.28,109.42,115.56,104.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
20240521094006,32.65,58.28,22247.5,32.94,60.04,23836.67,142.91,32.46,55.81,21042.5,109.37,32.71,32.76,58.0,57.75,21947.25,21675.08,120.33,116.96,33.07,33.07,60.04,60.04,23361.67,22933.33,138.29,131.82,32.46,32.46,55.81,54.62,20834.17,20640.0,105.91,104.56,33.25,33.44,33.08,54.4,55.24,53.34,20882.51,21509.31,20352.5,107.76,115.09,101.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
20240521095006,32.98,57.76,26537.17,33.49,60.47,28284.17,218.87,32.54,55.91,24352.5,149.02,32.88,32.79,57.94,58.07,26092.42,25651.42,172.92,165.87,33.37,33.25,60.47,60.47,28084.17,28084.17,208.71,199.58,32.52,32.47,55.91,55.96,23836.67,23361.67,142.91,138.29,33.1,33.36,32.89,55.38,56.6,54.13,21594.22,22456.25,20757.92,117.17,130.46,105.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
20240521100006,34.21,53.56,34346.66,35.0,57.26,40985.0,395.16,33.62,51.43,28820.0,231.18,34.06,33.91,54.1,54.55,33076.58,31907.67,284.99,268.85,34.8,34.61,57.26,57.26,39460.83,37699.16,370.17,346.35,33.49,33.37,51.43,51.82,28284.17,27771.67,218.87,208.71,33.22,33.56,32.93,55.48,57.21,54.0,23787.03,25647.92,22157.64,149.01,176.43,127.37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,
20240521101006,35.77,48.67,42062.19,36.29,51.8,44790.7,422.11,35.12,45.68,39903.2,408.19,35.64,35.51,49.09,49.57,41899.58,41717.66,412.83,408.53,36.17,36.08,51.8,51.8,44790.7,44790.7,422.11,422.11,35.0,34.8,45.68,45.68,39903.2,39460.83,395.16,370.17,33.67,34.05,33.29,54.56,56.71,52.76,27494.86,29734.84,25550.12,202.22,229.9,179.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,
20240521102006,38.06,42.82,62694.76,40.42,46.73,78376.09,1147.73,36.44,38.33,43602.97,438.98,37.65,37.28,43.71,44.36,60688.73,57755.91,783.29,728.03,39.83,39.26,47.25,47.25,78376.09,78376.09,1147.73,1147.73,36.29,36.17,39.82,39.82,42611.09,41280.0,420.43,413.15,34.48,35.25,33.85,52.65,55.4,50.21,34672.44,39517.8,29556.72,323.64,405.45,238.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
20240521103006,42.43,32.66,71488.49,44.1,36.47,78663.59,1157.31,40.81,29.0,63138.59,823.0,42.07,41.67,33.6,34.61,70914.93,71022.02,988.52,989.62,43.77,43.36,38.33,40.15,78663.59,78663.59,1157.31,1157.31,40.42,39.83,30.04,31.3,62671.4,62671.4,805.83,805.83,36.02,37.04,35.16,48.96,52.13,46.03,43229.46,49156.04,36809.96,474.4,580.68,359.96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,
20240521104006,46.2,26.11,79196.01,47.26,28.73,104883.59,1740.86,44.46,23.42,66123.2,920.89,45.88,45.54,26.61,27.18,78286.07,78627.48,1174.5,1177.88,47.26,47.24,29.0,30.04,104883.59,104883.59,1740.86,1740.86,44.1,43.77,23.42,23.42,66123.2,67573.28,920.89,940.38,38.28,39.43,37.16,43.6,46.91,40.63,52720.88,62663.86,44323.41,653.84,847.01,495.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,
